2022 Resident Population by Metropolitan Statistical Area (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"KILPOP","Killeen-Temple, TX","28660","496.228"
"KINPOP","Kingsport-Bristol-Bristol, TN-VA","28700","311.272"
"KGNPOP","Kingston, NY","28740","182.319"
"KNXPOP","Knoxville, TN","28940","907.968"
"KOKPOP","Kokomo, IN","29020","83.574"
"LCRPOP","La Crosse-Onalaska, WI-MN","29100","139.094"
"LFTPOP","Lafayette, LA","29180","481.125"
"LAFPOP","Lafayette-West Lafayette, IN","29200",""
"LWLPOP","Lafayette-West Lafayette, IN","29200","226.452"
"LCHPOP","Lake Charles, LA","29340","207.32"
"LKHPOP","Lake Havasu City-Kingman, AZ","29420","220.816"
"LWHPOP","Lakeland-Winter Haven, FL","29460","787.404"
"LACPOP","Lancaster, PA","29540","556.629"
"LANPOP","Lansing-East Lansing, MI","29620","540.87"
"LEOPOP","Laredo, TX","29700","267.78"
"LSCPOP","Las Cruces, NM","29740","223.337"
"LSVPOP","Las Vegas-Henderson-Paradise, NV","29820","2322.985"
"LAWPOP","Lawrence, KS","29940","119.964"
"LATPOP","Lawton, OK","30020","128.523"
"LEBPOP","Lebanon, PA","30140","144.011"
"LEWPOP","Lewiston, ID-WA","30300","65.512"
"LWAPOP","Lewiston-Auburn, ME","30340","113.023"
"LEXPOP","Lexington-Fayette, KY","30460","517.916"
"LIMPOP","Lima, OH","30620","101.115"
"LINPOP","Lincoln, NE","30700","342.448"
"LRSPOP","Little Rock-North Little Rock-Conway, AR","30780","757.615"
"LOGPOP","Logan, UT-ID","30860","155.362"
"LGMPOP","Longview, TX","30980","291.219"
"LGKPOP","Longview, WA","31020","111.956"
"LOSPOP","Los Angeles-Long Beach-Anaheim, CA","31080",""
"LNAPOP","Los Angeles-Long Beach-Anaheim, CA","31080","12872.322"
"LOIPOP","Louisville/Jefferson County, KY-IN","31140","1284.553"
"LBKPOP","Lubbock, TX","31180","328.283"
"LYNPOP","Lynchburg, VA","31340","263.613"
"MACPOP","Macon-Bibb County, GA","31420","233.916"
"MADPOP","Madera, CA","31460","160.256"
"MDSPOP","Madison, WI","31540","687.077"
"MNHPOP","Manchester-Nashua, NH","31700","426.594"
"MHTPOP","Manhattan, KS","31740","133.072"
"MKTPOP","Mankato-North Mankato, MN","31860","104.072"
"MANPOP","Mansfield, OH","31900","125.319"
"MCLPOP","McAllen-Edinburg-Mission, TX","32580","888.367"
"MEDPOP","Medford, OR","32780","221.644"
"MPHPOP","Memphis, TN-MS-AR","32820","1332.305"
"MRCPOP","Merced, CA","32900","290.014"
"MIMPOP","Miami-Fort Lauderdale-West Palm Beach, FL","33100","6139.34"
"MCPPOP","Michigan City-La Porte, IN","33140","111.675"
"MDTPOP","Midland, TX","33260","177.216"
"MWKPOP","Milwaukee-Waukesha-West Allis, WI","33340","1559.792"
"MSPPOP","Minneapolis-St. Paul-Bloomington, MN-WI","33460","3693.729"
"MILPOP","Missoula, MT","33540","121.041"
"MOBPOP","Mobile, AL","33660","426.533"
"MODPOP","Modesto, CA","33700","551.275"
"MREPOP","Monroe, LA","33740","202.869"
"MNMPOP","Monroe, MI","33780","155.609"
"MONPOP","Montgomery, AL","33860","385.46"
"MRWPOP","Morgantown, WV","34060","141.041"
"MRTPOP","Morristown, TN","34100","146.172"
"MVAPOP","Mount Vernon-Anacortes, WA","34580","131.179"
"MUNPOP","Muncie, IN","34620","112.031"
"MNSPOP","Muskegon, MI","34740","176.565"
"MYRPOP","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820","536.165"
"NAPPOP","Napa, CA","34900","134.3"
"NPLPOP","Naples-Immokalee-Marco Island, FL","34940","397.994"
"NVLPOP","Nashville-Davidson--Murfreesboro--Franklin, TN","34980","2046.828"
