mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2351618604108810506,531000,902 Ashley Ln,TUPELO,MS,38801,100,135000,,2023-06-02,False
-2350002400108153149,623000,,BROOKLYN,NY,11238,200,1175000,,2023-06-02,False
-2346976911195022747,207000,237 Chestnut Street,SPRING CITY,PA,19475,300,280000,,2023-06-02,False
-2346976911194957144,207000,229 S Main Street,SPRING CITY,PA,19475,300,220000,,2023-06-02,False
-2345631683208546052,207000,2028a Overhill Dr,NASHVILLE,TN,37215,100,2495555,,2023-06-02,False
-2344747371557682130,208000,7994 IVY PARK DR,FORTSON,GA,31808,100,298000,,2023-06-02,False
-2343642712139602254,3500,633 Shefford Town Drive,ROLESVILLE,NC,27571,100,424900,,2023-06-02,False
-2343577240354053232,607000,2555 Olde Farm Drive,JENISON,MI,49428,100,337500,,2023-06-02,False
-2343577231747464436,607000,1717 Pleasantwood Drive,JENISON,MI,49428,100,314900,,2023-06-02,False
-2343577227444366835,607000,7338 Sandelwood Street,JENISON,MI,49428,100,295000,,2023-06-02,False
-2343294948544510842,607000,7560 Eastlane Avenue,JENISON,MI,49428,100,350000,,2023-06-02,False
-2341510521679401103,215000,2537 Old House Point Road,FISHING CREEK,MD,21634,100,180000,,2023-06-02,False
-2340644889848207283,591000,1540 Gattis Dr,ORLANDO,FL,32825,100,399900,,2023-06-02,False
-2340438433574604102,3700,617 N Main St,THIENSVILLE,WI,53092,100,199000,,2023-06-02,False
-2340156154674748112,3700,206 Heidel Rd,THIENSVILLE,WI,53092,100,419900,,2023-06-02,False
-2339553297365281817,486000,8643 Rinda Ln,SPRING VALLEY,CA,91977,100,650000,,2023-06-02,False
-2336279099633792132,207000,85 Bramblebush Lane,SPRINGBORO,OH,45066,100,269900,,2023-06-02,False
-2336279095330628921,207000,165 Myers Creek Lane,SPRINGBORO,OH,45066,100,299900,,2023-06-02,False
-2336279091027662517,207000,23 Dunnington Court,SPRINGBORO,OH,45066,100,369900,,2023-06-02,False
-2336279091027465724,207000,801 E State Route 73,SPRINGBORO,OH,45066,100,1100000,,2023-06-02,False
-2336279091027137726,207000,310 Whispering Pines Street,SPRINGBORO,OH,45066,100,247500,,2023-06-02,False
-2336279086723908924,207000,35 Roundtree Court,SPRINGBORO,OH,45066,100,269900,,2023-06-02,False
-2336279082421073724,207000,49 Christman Drive,SPRINGBORO,OH,45066,100,339900,,2023-06-02,False
