2021 Per Capita Personal Income by Metropolitan Statistical Area (Dollars)
Series ID,Region Name,Region Code,2021-01-01
"MIDL248PCPI","Midland, TX","33260","125455"
"MILW355PCPI","Milwaukee-Waukesha-West Allis, WI","33340","65803"
"MINN427PCPI","Minneapolis-St. Paul-Bloomington, MN-WI","33460","71912"
"MISS530PCPI","Missoula, MT","33540","61881"
"MOBI601PCPI","Mobile, AL","33660","46402"
"MODE706PCPI","Modesto, CA","33700","52356"
"MONR722PCPI","Monroe, LA","33740","46859"
"MONR726PCPI","Monroe, MI","33780","53509"
"MONT801PCPI","Montgomery, AL","33860","49310"
"MORG054PCPI","Morgantown, WV","34060","50016"
"MORR147PCPI","Morristown, TN","34100","44279"
"MOUN553PCPI","Mount Vernon-Anacortes, WA","34580","64093"
"MUNC618PCPI","Muncie, IN","34620","45325"
"MUSK726PCPI","Muskegon, MI","34740","46701"
"MYRT845PCPI","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820","49234"
"NAPA906PCPI","Napa, CA","34900","90608"
"NAPL912PCPI","Naples-Immokalee-Marco Island, FL","34940","117984"
"NASH947PCPI","Nashville-Davidson--Murfreesboro--Franklin, TN","34980","70026"
"NEWO322PCPI","New Orleans-Metairie, LA","35380","61327"
"NEWY636PCPI","New York-Newark-Jersey City, NY-NJ-PA","35620","85136"
"NILE626PCPI","Niles-Benton Harbor, MI","35660","59656"
"SARA212PCPI","North Port-Sarasota-Bradenton, FL","35840","69376"
"OCAL112PCPI","Ocala, FL","36100","45152"
"OCEA134PCPI","Ocean City, NJ","36140","72010"
"ODES248PCPI","Odessa, TX","36220","53610"
"OGDE249PCPI","Ogden-Clearfield, UT","36260","52305"
"OKLA440PCPI","Oklahoma City, OK","36420","57150"
"OLYM553PCPI","Olympia-Tumwater, WA","36500","61062"
"OMAH531PCPI","Omaha-Council Bluffs, NE-IA","36540","64229"
"ORLA712PCPI","Orlando-Kissimmee-Sanford, FL","36740","53102"
"OSHK755PCPI","Oshkosh-Neenah, WI","36780","55202"
"OWNPCPI","Owensboro, KY","36980","49859"
"OXNA106PCPI","Oxnard-Thousand Oaks-Ventura, CA","37100","73375"
"PALM312PCPI","Palm Bay-Melbourne-Titusville, FL","37340","55477"
"PANA412PCPI","Panama City, FL","37460","53980"
"PARK654PCPI","Parkersburg-Vienna, WV","37620","51674"
"PASC728PCPI","Pascagoula, MS","37700",""
"PENS812PCPI","Pensacola-Ferry Pass-Brent, FL","37860","52548"
"PEOR917PCPI","Peoria, IL","37900","55784"
"PHIL942PCPI","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980","72379"
"PHOE004PCPI","Phoenix-Mesa-Scottsdale, AZ","38060","58308"
"PBFPCPI","Pine Bluff, AR","38220","41416"
"PITT342PCPI","Pittsburgh, PA","38300","65730"
"POCA516PCPI","Pocatello, ID","38540","45244"
"PORT941PCPI","Portland-Vancouver-Hillsboro, OR-WA","38900","68374"
"PORT912PCPI","Port St. Lucie, FL","38940","66630"
"POUG136PCPI","Poughkeepsie-Newburgh-Middletown, NY","39100",""
"PRES104PCPI","Prescott, AZ","39140",""
"PROV349PCPI","Provo-Orem, UT","39340","50616"
"PUEB308PCPI","Pueblo, CO","39380","46927"
"PUNT412PCPI","Punta Gorda, FL","39460","51677"
"RACI555PCPI","Racine, WI","39540","56884"
"RALE537PCPI","Raleigh, NC","39580","66428"
"RAPI646PCPI","Rapid City, SD","39660","61259"
"READ742PCPI","Reading, PA","39740","57970"
"REDD806PCPI","Redding, CA","39820","54972"
"RENO932PCPI","Reno, NV","39900","71489"
"RICH051PCPI","Richmond, VA","40060","65834"
"RIVE106PCPI","Riverside-San Bernardino-Ontario, CA","40140","50384"
"ROAN251PCPI","Roanoke, VA","40220","53939"
"ROCH327PCPI","Rochester, MN","40340","63052"
"ROCH336PCPI","Rochester, NY","40380","58500"
"ROCK417PCPI","Rockford, IL","40420","51140"
"ROCK537PCPI","Rocky Mount, NC","40580","48812"
"ROME613PCPI","Rome, GA","40660","44803"
"SACR906PCPI","Sacramento--Roseville--Arden-Arcade, CA","40900","65972"
"SAGI926PCPI","Saginaw, MI","40980","49274"
"STCL027PCPI","St. Cloud, MN","41060","55987"
"STGE149PCPI","St. George, UT","41100","47162"
"STJO129PCPI","St. Joseph, MO-KS","41140","46420"
"STLPCPI","St. Louis, MO-IL","41180","64769"
"SALE441PCPI","Salem, OR","41420","52971"
"SALI506PCPI","Salinas, CA","41500","63449"
"SALI524PCPI","Salisbury, MD-DE","41540","55698"
"SALT649PCPI","Salt Lake City, UT","41620","61551"
"SANA648PCPI","San Angelo, TX","41660","60187"
"SANA748PCPI","San Antonio-New Braunfels, TX","41700","53648"
"SAND706PCPI","San Diego-Carlsbad, CA","41740","72637"
"SAND739PCPI","Sandusky, OH","41780",""
"SANF806PCPI","San Francisco-Oakland-Hayward, CA","41860","123711"
"SANJ906PCPI","San Jose-Sunnyvale-Santa Clara, CA","41940","136338"
"SANL006PCPI","San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020","66617"
"SANT106PCPI","Santa Cruz-Watsonville, CA","42100","85554"
"SANT135PCPI","Santa Fe, NM","42140","69528"
"SMSB906PCPI","Santa Maria-Santa Barbara, CA","42200","73995"
"SANT006PCPI","Santa Maria-Santa Barbara, CA","42200",""
"SANT206PCPI","Santa Rosa, CA","42220","81006"
"SAVA313PCPI","Savannah, GA","42340","53570"
"SCRA542PCPI","Scranton--Wilkes-Barre--Hazleton, PA","42540","53256"
"SEAT653PCPI","Seattle-Tacoma-Bellevue, WA","42660","89274"
"SEBA612PCPI","Sebastian-Vero Beach, FL","42680","95109"
"SHEB155PCPI","Sheboygan, WI","43100","58425"
"SHER348PCPI","Sherman-Denison, TX","43300","52055"
"SHRE322PCPI","Shreveport-Bossier City, LA","43340","55198"
"SIOU519PCPI","Sioux City, IA-NE-SD","43580","59993"
"SIOU646PCPI","Sioux Falls, SD","43620","71570"
"SOUT718PCPI","South Bend-Mishawaka, IN-MI","43780","56109"
"SPAR945PCPI","Spartanburg, SC","43900","50596"
"SPOK053PCPI","Spokane-Spokane Valley, WA","44060","53278"
"SPRI117PCPI","Springfield, IL","44100","57126"
"SPIPCPI","Springfield, MO","44180","48664"
"SPRI239PCPI","Springfield, OH","44220","47929"
"STAT342PCPI","State College, PA","44300","54994"
"STOC706PCPI","Stockton-Lodi, CA","44700","57783"
"SUMT945PCPI","Sumter, SC","44940","46550"
"SYRA036PCPI","Syracuse, NY","45060","58137"
"TALL212PCPI","Tallahassee, FL","45220","52279"
"TAMP312PCPI","Tampa-St. Petersburg-Clearwater, FL","45300","58315"
"TERR418PCPI","Terre Haute, IN","45460","45537"
"TEXPCPI","Texarkana, TX-AR","45500","45058"
"TOLE739PCPI","Toledo, OH","45780","54423"
"TOPE820PCPI","Topeka, KS","45820","53655"
"TREN934PCPI","Trenton, NJ","45940","77911"
"TUCS004PCPI","Tucson, AZ","46060","52942"
"TULS140PCPI","Tulsa, OK","46140","59941"
"TUSC201PCPI","Tuscaloosa, AL","46220","43362"
"TYLE348PCPI","Tyler, TX","46340","60284"
"UHON915PCPI","Urban Honolulu, HI","46520","63912"
"HONO115PCPI","Urban Honolulu, HI","46520",""
"UTIC536PCPI","Utica-Rome, NY","46540","52919"
"VALD613PCPI","Valdosta, GA","46660","42585"
"VALL706PCPI","Vallejo-Fairfield, CA","46700","65448"
"VICT048PCPI","Victoria, TX","47020","58294"
"VINE234PCPI","Vineland-Bridgeton, NJ","47220","47559"
"VIRG251PCPI","Virginia Beach-Norfolk-Newport News, VA-NC","47260","56716"
"VISA306PCPI","Visalia-Porterville, CA","47300","47986"
"WACO348PCPI","Waco, TX","47380","49151"
"WARN513PCPI","Warner Robins, GA","47580","48160"
"WASH911PCPI","Washington-Arlington-Alexandria, DC-VA-MD-WV","47900","80822"
"WATE919PCPI","Waterloo-Cedar Falls, IA","47940","53584"
"WAUS155PCPI","Wausau, WI","48140","56947"
"WEIR239PCPI","Weirton-Steubenville, WV-OH","48260","48558"
"WENA353PCPI","Wenatchee, WA","48300","58009"
"WHEE554PCPI","Wheeling, WV-OH","48540","50716"
"WICH620PCPI","Wichita, KS","48620","56343"
"WICH648PCPI","Wichita Falls, TX","48660","50905"
"WILL742PCPI","Williamsport, PA","48700","50464"
"WILM937PCPI","Wilmington, NC","48900","55750"
"WINC051PCPI","Winchester, VA-WV","49020","56544"
"WINS137PCPI","Winston-Salem, NC","49180","53154"
"YAKI453PCPI","Yakima, WA","49420","50872"
"YORK642PCPI","York-Hanover, PA","49620","57870"
"YOUN639PCPI","Youngstown-Warren-Boardman, OH-PA","49660","48904"
"YUBA706PCPI","Yuba City, CA","49700","51174"
"YUMA704PCPI","Yuma, AZ","49740","44299"
